Item_Number,Temperature_A,Temperature_B,Temperature_C,Temperature_D,Time_in_Days,Humidity_A,Humidity_B,Humidity_C,Humidity_D,Medicine
0,60,40,42,36,84,62,25,36,33,B
1,79,8,33,32,40,55,67,41,50,A
2,36,8,11,57,33,64,60,69,29,B
3,73,26,8,14,40,29,22,23,44,A
4,76,45,3,90,31,57,47,38,24,B
5,15,89,47,2,79,40,36,46,64,A
6,83,48,12,1,38,65,34,32,57,A
7,85,99,72,2,36,64,66,42,36,A
8,50,52,36,17,35,36,27,41,56,B
9,39,47,2,77,75,44,68,32,58,B
10,92,69,62,22,31,52,50,40,58,B
11,10,65,40,69,36,31,55,45,43,B
12,42,51,8,39,44,24,32,28,56,A
13,55,36,67,53,52,34,51,32,22,A
14,4,41,0,55,76,46,54,50,27,A
15,39,63,3,78,64,66,25,32,42,A
16,21,11,0,39,40,24,41,69,63,A
17,78,31,12,80,52,66,57,54,31,B
18,76,31,66,75,67,44,42,59,42,A
19,16,32,56,37,51,22,22,67,27,A
20,89,58,26,14,45,34,45,39,43,B
21,16,83,26,69,50,68,55,64,20,A
22,62,96,72,77,67,63,68,29,60,A
23,72,54,54,57,85,66,54,40,60,A
24,46,40,57,55,59,66,49,40,37,B
25,69,38,80,26,42,24,32,60,58,B
26,82,11,97,19,52,45,24,42,33,B
27,21,44,80,74,45,21,57,52,48,B
28,98,73,20,48,69,52,40,36,45,B
29,94,46,15,34,84,41,21,59,46,B
30,27,10,32,74,39,49,65,34,37,B
31,70,82,32,92,56,43,33,33,54,B
32,2,77,7,13,41,46,40,26,54,A
33,27,72,19,21,36,47,57,30,43,A
34,62,58,46,97,72,42,64,28,38,B
35,72,1,76,19,75,33,33,30,40,B
36,53,73,50,52,70,58,63,47,43,B
37,23,18,57,14,82,38,43,33,51,A
38,24,8,13,5,75,47,30,55,50,B
39,84,38,86,22,31,57,21,50,33,A
40,44,64,50,54,78,20,49,60,48,B
41,48,77,86,91,81,62,25,68,55,A
42,26,93,45,50,77,56,34,41,63,B
43,8,56,65,14,67,53,50,39,25,A
44,2,35,14,35,61,28,25,20,65,A
45,44,57,2,66,81,43,67,61,58,A
46,85,54,87,5,70,37,21,45,44,A
47,89,94,24,4,84,35,62,20,51,B
48,83,44,41,33,74,40,54,68,59,A
49,55,52,19,33,84,38,42,29,33,B
50,89,88,16,73,66,33,67,24,28,B
51,82,66,56,22,38,25,28,62,49,B
52,18,45,40,10,80,47,35,62,43,A
53,16,20,12,58,55,53,65,46,62,B
54,66,85,75,15,87,46,48,32,51,A
55,50,80,22,74,56,68,30,35,64,B
56,13,0,62,66,30,68,60,37,45,B
57,73,75,14,80,40,56,69,29,61,A
58,39,13,84,11,78,30,39,40,64,A
59,52,0,1,31,47,29,25,22,27,B
60,23,79,13,12,88,26,45,22,26,A
61,48,37,9,71,51,66,56,27,66,A
62,76,72,17,21,32,59,66,29,53,B
63,96,4,71,96,62,45,30,46,65,B
64,91,16,89,27,43,48,36,22,52,B
65,78,54,19,98,52,37,50,25,58,B
66,76,26,45,80,42,55,69,56,68,A
67,20,77,65,46,83,22,50,41,26,A
68,13,4,90,79,76,47,68,30,25,B
69,51,85,41,69,84,57,64,36,37,B
70,22,51,93,96,68,24,49,44,40,A
71,57,26,95,57,49,57,45,31,45,B
72,75,82,0,51,62,69,31,69,64,A
73,84,60,60,45,31,34,33,49,46,A
74,15,80,55,67,86,61,34,36,35,B
75,66,8,44,73,51,67,30,29,50,A
76,41,98,45,61,52,47,50,21,26,B
77,29,81,69,38,79,48,62,44,44,A
78,44,26,60,77,50,47,47,56,62,A
79,35,59,32,63,44,52,48,55,45,A
80,45,71,64,4,85,57,69,52,47,B
81,86,14,42,50,61,54,56,22,21,A
82,61,59,77,78,70,30,69,38,64,A
83,8,52,22,65,47,47,50,53,30,B
84,39,26,31,37,61,57,45,23,47,B
85,89,93,12,15,84,38,26,41,28,B
86,87,62,43,10,32,33,27,58,29,B
87,80,36,78,85,40,34,50,31,46,A
88,30,68,83,24,84,22,68,68,59,B
89,29,35,82,88,40,36,48,42,42,B
90,23,1,69,80,38,23,66,38,57,B
91,98,64,14,37,78,23,46,22,44,B
92,36,6,71,4,47,31,21,53,32,A
93,31,7,15,16,76,63,38,62,27,A
94,22,74,20,0,45,67,48,44,53,A
95,96,4,62,58,81,25,49,64,48,B
96,92,58,32,83,52,39,33,66,48,B
97,14,10,45,86,55,20,25,23,23,A
98,19,66,53,31,51,45,40,20,51,B
99,41,90,52,57,52,40,40,69,54,A
100,50,52,95,40,35,67,40,63,42,B
101,69,42,11,82,59,39,57,53,58,A
102,72,41,72,58,53,32,49,58,40,B
103,12,5,30,41,65,33,21,36,59,A
104,69,13,51,27,61,26,49,42,66,A
105,11,86,14,37,65,48,30,58,44,A
106,59,88,42,40,64,22,32,53,28,A
107,10,35,44,89,72,57,21,48,65,A
108,82,90,22,74,89,24,44,36,33,A
109,33,2,50,42,73,58,69,57,56,B
110,38,6,0,45,55,38,51,40,47,B
111,86,99,90,81,67,54,22,20,43,A
112,60,44,36,16,54,68,22,41,37,B
113,79,73,80,60,43,65,20,47,25,A
114,92,8,89,89,50,44,32,55,44,A
115,49,47,10,36,65,40,30,59,60,B
116,64,5,23,4,71,44,43,68,63,A
117,65,64,80,49,40,33,31,60,60,B
118,61,1,94,97,67,44,56,42,58,B
119,63,32,46,66,55,54,23,46,26,A
120,32,97,52,78,44,45,39,50,43,B
121,76,73,86,48,43,66,37,52,33,B
122,20,80,39,65,72,67,46,52,43,B
123,37,69,74,61,59,65,62,60,35,A
124,22,18,60,83,84,52,44,23,23,B
125,93,91,22,72,54,65,49,44,68,A
126,39,30,55,74,31,57,47,54,50,A
127,36,98,25,71,75,53,28,41,35,B
128,25,87,23,8,60,62,49,43,29,B
129,5,87,55,95,84,52,56,25,21,A
130,48,14,0,45,56,66,60,62,53,A
131,92,24,54,2,79,35,49,21,37,A
132,63,1,72,16,32,61,57,31,44,A
133,50,57,60,23,88,38,69,31,42,A
134,67,94,46,92,46,26,64,34,42,B
135,29,36,84,34,35,20,30,25,68,B
136,36,12,95,89,38,54,20,25,67,B
137,16,81,73,61,64,45,21,35,28,A
138,53,91,28,81,41,30,26,48,30,B
139,86,93,54,89,54,62,66,35,35,A
140,76,24,92,11,47,41,20,68,36,B
141,59,17,77,77,77,57,48,39,34,A
142,34,44,86,27,45,33,41,68,34,B
143,10,68,94,2,60,31,58,42,61,B
144,63,1,15,38,86,51,24,29,66,B
145,18,54,81,75,46,24,25,69,41,B
146,37,26,23,84,79,32,67,42,49,A
147,74,76,3,2,64,59,47,43,40,B
148,5,99,61,21,35,49,37,24,45,A
149,48,8,23,51,86,32,30,46,48,B
150,78,20,26,71,69,67,44,47,27,A
151,10,75,85,75,60,24,59,61,62,B
152,6,26,84,55,30,35,26,52,68,A
153,9,3,3,66,66,33,66,66,21,A
154,15,3,47,56,62,61,63,56,37,A
155,36,0,58,39,37,50,37,48,35,A
156,8,4,43,20,53,54,26,63,62,A
157,62,48,24,49,77,52,23,44,42,A
158,1,78,89,16,66,31,31,38,22,B
159,61,67,76,37,83,43,53,64,51,B
160,67,92,64,14,72,67,31,62,54,A
161,71,5,84,98,36,26,60,24,39,A
162,21,65,46,70,49,38,67,24,65,B
163,85,90,51,15,82,50,41,56,58,A
164,34,79,10,10,53,24,41,47,36,B
165,99,3,52,84,61,30,67,46,29,A
166,19,24,59,33,76,30,20,39,36,B
167,40,22,3,9,48,51,39,28,61,A
168,71,84,4,29,86,54,46,58,63,A
169,79,38,24,69,84,53,59,63,36,B
170,44,91,6,63,34,51,66,48,31,B
171,42,29,40,51,56,29,37,42,30,B
172,28,52,23,77,40,61,20,36,48,B
173,46,1,5,16,31,30,39,35,25,A
174,62,3,28,69,70,55,41,29,39,B
175,45,70,82,58,42,53,49,35,45,B
176,45,89,12,83,57,20,55,61,51,B
177,24,19,4,31,76,36,32,52,21,B
178,34,79,16,88,73,53,60,51,33,B
179,98,31,74,48,40,27,31,20,60,B
180,26,94,73,54,68,21,66,60,47,A
181,3,48,71,37,58,40,58,27,55,B
182,37,54,22,29,58,31,35,46,32,B
183,43,72,77,44,89,25,45,66,52,B
184,18,52,23,76,64,38,68,43,33,B
185,11,50,51,20,68,32,57,51,33,A
186,23,98,90,92,86,53,41,31,61,B
187,73,18,74,3,89,46,27,46,52,A
188,87,84,69,53,56,48,65,40,61,B
189,97,29,99,8,84,67,24,56,40,B
190,39,6,49,54,66,52,22,25,35,B
191,15,65,87,48,54,20,22,26,29,A
192,22,17,29,77,79,52,21,62,62,B
193,35,8,68,27,63,22,22,28,24,A
194,47,46,82,29,55,43,30,35,66,B
195,29,53,77,52,62,45,51,55,67,A
196,12,27,71,93,80,50,65,64,57,B
197,28,92,52,73,30,26,41,34,49,A
198,66,63,64,89,30,56,23,39,59,B
